provider,models_in_chart,candidate_best_value_plan,plan_price_usd_per_month,quota_period,published_quota,token_conversion,decision,access_basis,confidence,reason,plan_source_url,quota_source_url,as_of_date
OpenAI,GPT-5.6 Sol; GPT-5.6 Terra; GPT-5.6 Luna; GPT-5.5; GPT-5.5 Instant (June 2026),ChatGPT Pro 20x,200,weekly,"Best available full-limit test: about $14,000/month API-equivalent; official 2026-07-30 Codex credit rates remain proportional to standard API prices",Per fixed AA configuration: effective task cost = API task cost / 70,include_subscription_api_equivalent_estimate,subscription_api_equivalent_estimate,medium,"Highest-confidence current allowance estimate; official credit pricing confirms the repricing basis, but OpenAI does not promise a fixed Token quota",https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget,2026-07-31
Anthropic,Claude Sonnet 5; Claude Fable 5 (with fallback); Claude Opus 4.8; Claude Opus 5,Claude Max 20x,200,weekly,"Current standard estimate = about $5,333.33/month API-equivalent; Fable receives 50%",Sonnet/Opus 4.8/Opus 5 about 26.67x; Fable about 13.33x,include_subscription_api_equivalent_estimate,subscription_api_equivalent_estimate,medium,"Current standard-limit estimate, not a provider-guaranteed Token quota; Anthropic confirms Opus 5 is the default model on Claude Max",https://claude.com/pricing,https://www.anthropic.com/news/claude-opus-5,2026-07-24
Xiaomi MiMo,MiMo-V2.5-Pro,Token Plan Max,100,monthly,82B Credits/month,2.5 Credits/cache-hit input; 300 Credits/uncached or cache-write input; 600 Credits/output,include_subscription,subscription_official,high,Only MiMo-V2.5-Pro has the exact public conversion used here; MiMo-V2.5 is excluded,https://mimo.mi.com/docs/zh-CN/tokenplan/Token%20Plan/subscription,https://mimo.mi.com/docs/zh-CN/tokenplan/Token%20Plan/subscription,2026-07-21
Zhipu AI,GLM-5.2,Coding Plan Max,160,weekly,1186.09M reconstructed base tokens/week,GLM-5.2 is metered at 0.67x through 2026-07-31; effective quota = 1186.09M/0.67,include_subscription,subscription_reconstructed,medium,Base weekly table is third-party reconstructed; 0.67 factor is official and snapshot-specific,https://z.ai/subscribe,https://zcode.z.ai/en/docs/configuration,2026-07-21
DeepSeek,DeepSeek V4 Pro (Preview); DeepSeek V4 Flash (Preview),None,,none,None,None,include_api,api_no_first_party_subscription,high,No relevant first-party paid subscription; use AA weighted API cost per task,https://api-docs.deepseek.com/quick_start/pricing/,https://artificialanalysis.ai/models,2026-07-21
Amazon,Amazon Nova 2.0 Pro; Amazon Nova 2.0 Lite,None,,none,None,None,include_api,api_on_demand_no_subscription_plan,high,Nova 2 is sold through Bedrock on-demand/token API rather than a model Token subscription,https://aws.amazon.com/bedrock/pricing/,https://docs.aws.amazon.com/nova/latest/nova2-userguide/what-is-nova-2.html,2026-07-21
Meta,Muse Spark 1.1,None,,none,None,None,include_api,api_public_preview_no_paid_token_plan,medium,Meta Model API is in public preview; no quantifiable paid Token subscription for this model is published,https://ai.meta.com/blog/introducing-muse-spark-meta-model-api/,https://artificialanalysis.ai/models/muse-spark-1-1-xhigh,2026-07-21
NVIDIA,Nemotron 3 Ultra 550B A55B (NVFP4),None,,none,None,None,include_api,api_or_open_weight_no_model_token_plan,medium,NIM production entitlement is infrastructure/GPU licensing rather than a model-specific Token quota; use the Blackbox AI price tied to AA's final NVFP4 benchmark weights,https://build.nvidia.com/nvidia/nemotron-3-ultra-550b-a55b/modelcard,https://artificialanalysis.ai/articles/nvidia-nemotron-3-ultra-released,2026-07-21
Multiverse Computing,HyperNova 60B 2605,None,,none,None,None,include_api,open_weight_no_first_party_subscription,medium,Official release is open weight and no first-party model subscription is published; use AA hosted task cost,https://multiversecomputing.com/resources/introducing-hypernova-60b-2605,https://artificialanalysis.ai/models/hypernova-60b/providers,2026-07-21
xAI,Grok 4.5,SuperGrok Heavy,,weekly,Percentage only,None,exclude_subscription_unknown_tokens,,high,Numeric weekly Token/Credit ceiling is not public,https://docs.x.ai/grok/faq,https://docs.x.ai/grok/faq,2026-07-21
