result_id,series,agent,model,effort,effort_order,developer,coding_agent_score,data_scope,api_cost_per_task_usd,route_provider,host_model_slug,policy_rule_order,decision,confidence,plan_source_url,quota_source_url,reason,effective_cost_per_task_usd,access_mode,plan_name,plan_price_usd_per_month,quota_period,api_value_ratio,access_provider
0ed87f4672c6820504f9402f198df0a6,Codex · GPT-5.6 Sol,Codex,GPT-5.6 Sol,max,100,OpenAI,66.5698486709049,complete,7.0835100321910645,openai,openai_kindle-alpha-api,30,include_subscription_api_equivalent_estimate,medium,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget,Use the same dated 70x API-value estimate as the general-scenario Codex chart; this is not a provider-promised Token quota.,0.10119300046,subscription_api_equivalent_estimate,ChatGPT Pro 20x,200,weekly,70,OpenAI
191c8ab738f67c70506375676fd133a1,Claude Code · DeepSeek V4 Pro (Preview),Claude Code,DeepSeek V4 Pro (Preview),high,70,DeepSeek,31.440020420893976,complete,0.27193461309864964,deepseek,deepseek_deepseek-v4-pro-1m,100,include_api_no_applicable_subscription,high,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,"No applicable subscription exists for the evaluated agent/model access path, so retain the observed pay-per-token API task cost.",0.271934613099,api_no_applicable_subscription,API,,,1,deepseek
62664948892cc9fc91e5efbd2eef6587,Claude Code · Opus 5,Claude Code,Opus 5,xhigh,90,Anthropic,66.74377366641141,complete,8.234594254641607,anthropic,anthropic_claude-horchata-eap,20,include_subscription_api_equivalent_estimate,medium,https://claude.com/pricing,https://github.com/iteebz/ccmeter,Use the current standard Claude Max 20x allowance estimate for Anthropic models evaluated through Claude Code.,0.308797284549,subscription_api_equivalent_estimate,Claude Max 20x,200,weekly,26.666666666667,Anthropic
3dc51da6d8a643b1053c74af93b012b8,Claude Code · Fable 5 (with fallback),Claude Code,Fable 5 (with fallback),max,100,Anthropic,65.8470366292233,complete,11.710527040238842,anthropic,anthropic_claude-fable-5,10,include_subscription_api_equivalent_estimate,medium,https://claude.com/pricing,https://github.com/iteebz/ccmeter,Use the current standard Claude allowance estimate; Fable fallback receives half the regular allowance. This is not a provider-promised Token quota.,0.878289528018,subscription_api_equivalent_estimate,Claude Max 20x,200,weekly,13.333333333333,Anthropic
f588e30be09e15d29f17336fc27d80de,Cursor CLI · Composer 2.5,Cursor CLI,Composer 2.5,fast,10,Cursor,38.19077223302173,complete,0.5493899408099688,cursor,cursor_composer-2-5-fast,40,include_subscription_official_api_value,high,https://docs.cursor.com/account/pricing,https://docs.cursor.com/account/pricing,Cursor officially guarantees $400/month of included Agent API usage on the $200/month Ultra plan. Unquantified bonus usage is excluded.,0.274694970405,subscription_official_api_value,Cursor Ultra,200,monthly,2,Cursor
ef32f4245e6f9d0b7d390fbf075bc909,Opencode · Muse Spark 1.1,Opencode,Muse Spark 1.1,xhigh,90,Meta,53.54216416163317,complete,1.428240683805814,meta,meta_super-nova,100,include_api_no_applicable_subscription,high,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,"No applicable subscription exists for the evaluated agent/model access path, so retain the observed pay-per-token API task cost.",1.428240683806,api_no_applicable_subscription,API,,,1,meta
23a4b1945147ca7027b1207f6664e9f8,Claude Code · GLM-5.2 (FP8),Claude Code,GLM-5.2 (FP8),default,20,Z.ai,43.17779252895107,complete,6.5111001416041745,novita,novita_glm-5-2_fp8,100,include_api_no_applicable_subscription,high,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,"No applicable subscription exists for the evaluated agent/model access path, so retain the observed pay-per-token API task cost.",6.511100141604,api_no_applicable_subscription,API,,,1,novita
5062f510436fd9929027de5e98e49f60,Codex · GPT-5.6 Luna,Codex,GPT-5.6 Luna,max,100,OpenAI,58.659810865063534,complete,1.566956997507788,openai,openai_opal-alpha,30,include_subscription_api_equivalent_estimate,medium,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget,Use the same dated 70x API-value estimate as the general-scenario Codex chart; this is not a provider-promised Token quota.,0.022385099964,subscription_api_equivalent_estimate,ChatGPT Pro 20x,200,weekly,70,OpenAI
a87a11df241a31270a922b2fbd9e16a4,Codex · GPT-5.6 Luna,Codex,GPT-5.6 Luna,low,30,OpenAI,25.083413008049032,complete,0.2085558115264794,openai,openai_opal-alpha,30,include_subscription_api_equivalent_estimate,medium,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget,Use the same dated 70x API-value estimate as the general-scenario Codex chart; this is not a provider-promised Token quota.,0.002979368736,subscription_api_equivalent_estimate,ChatGPT Pro 20x,200,weekly,70,OpenAI
035720d14bdfb33a9b2e5bd7e9ac9169,Codex · GPT-5.6 Luna,Codex,GPT-5.6 Luna,high,70,OpenAI,51.4166617577979,complete,0.9586630484942884,openai,openai_opal-alpha,30,include_subscription_api_equivalent_estimate,medium,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget,Use the same dated 70x API-value estimate as the general-scenario Codex chart; this is not a provider-promised Token quota.,0.013695186407,subscription_api_equivalent_estimate,ChatGPT Pro 20x,200,weekly,70,OpenAI
